SUBDISTRICT,DISTRICT,WASTING
Ajmer,AJMER,23.45376144
Beawar,AJMER,25.87590143
Bhinay,AJMER,22.39862347
Kekri,AJMER,22.04045598
Kishangarh,AJMER,23.91611886
Masuda,AJMER,24.396555
Nasirabad,AJMER,24.78544855
Peesangan,AJMER,25.93751474
Sarwar,AJMER,21.35955158
Alwar,ALWAR,20.67378996
Bansur,ALWAR,21.653765
Behror,ALWAR,19.54231475
Kathumar,ALWAR,23.35128249
Kishangarh Bas,ALWAR,24.33621212
Kotkasim,ALWAR,25.08783022
Lachhmangarh,ALWAR,21.94053854
Mandawar,ALWAR,21.17052845
Rajgarh,ALWAR,22.57619926
Ramgarh,ALWAR,22.96650102
Thanagazi,ALWAR,24.77441863
Tijara,ALWAR,23.98644799
Bagidora,BANSWARA,30.29283221
Banswara,BANSWARA,31.50227688
Garhi,BANSWARA,27.94789159
Ghatol,BANSWARA,30.6860366
Kushalgarh,BANSWARA,29.94267198
Antah,BARAN,22.52063387
Atru,BARAN,24.2879784
Baran,BARAN,22.75854809
Chhabra,BARAN,23.59965036
Chhipabarod,BARAN,25.38717447
Kishanganj,BARAN,24.9828116
Mangrol,BARAN,26.809021
Shahbad,BARAN,24.34107062
Barmer,BARMER,23.79001487
Baytoo,BARMER,25.06315752
Chohtan,BARMER,25.81100796
Gudha Malani,BARMER,23.60448304
Pachpadra,BARMER,27.40844178
Ramsar,BARMER,25.0075936
Sheo,BARMER,26.85000301
Siwana,BARMER,26.85474637
Bayana,BHARATPUR,22.88304071
Bharatpur,BHARATPUR,23.71695127
Deeg,BHARATPUR,23.81687287
Kaman,BHARATPUR,24.7762993
Kumher,BHARATPUR,23.65597971
Nadbai,BHARATPUR,23.7051491
Nagar,BHARATPUR,23.08029575
Pahari,BHARATPUR,27.22993648
Rupbas,BHARATPUR,23.31231491
Weir,BHARATPUR,23.6695522
Asind,BHILWARA,24.59329275
Banera,BHILWARA,23.78444482
Beejoliya,BHILWARA,22.71815152
Bhilwara,BHILWARA,22.73966388
Hurda,BHILWARA,22.27251641
Jahazpur,BHILWARA,25.36930789
Kotri,BHILWARA,22.69296587
Mandal,BHILWARA,24.62183436
Mandalgarh,BHILWARA,23.63993508
Raipur,BHILWARA,23.12413756
Sahara,BHILWARA,24.43858696
Shahpura,BHILWARA,21.57012915
Bikaner,BIKANER,24.28281253
Chhatargarh,BIKANER,23.53284624
Khajuwala,BIKANER,21.99091908
Kolayat,BIKANER,23.16467485
Lunkaransar,BIKANER,22.24670979
Nokha,BIKANER,25.72062838
Poogal,BIKANER,22.99626765
Sridungargarh,BIKANER,22.14374805
Bundi,BUNDI,22.99535415
Hindoli,BUNDI,25.48704251
Indragarh,BUNDI,25.18845617
Keshoraipatan,BUNDI,24.59456132
Nainwa,BUNDI,25.30893958
Bari Sadri,CHITTAURGARH,23.81558711
Begun,CHITTAURGARH,21.53972153
Bhadesar,CHITTAURGARH,22.64975819
Chittaurgarh,CHITTAURGARH,21.70145337
Dungla,CHITTAURGARH,25.3842169
Gangrar,CHITTAURGARH,21.35008085
Kapasan,CHITTAURGARH,22.5695868
Nimbahera,CHITTAURGARH,22.04394748
Rashmi,CHITTAURGARH,23.89341175
Rawatbhata,CHITTAURGARH,23.97172301
Churu,CHURU,21.17048509
Rajgarh,CHURU,22.26482323
Ratangarh,CHURU,23.70692752
Sardarshahar,CHURU,24.43750822
Sujangarh,CHURU,25.58370839
Taranagar,CHURU,20.67047507
Baswa,DAUSA,21.54072661
Dausa,DAUSA,23.27328194
Lalsot,DAUSA,22.77750804
Mahwa,DAUSA,22.47618158
Sikrai,DAUSA,22.51310658
Bari,DHAULPUR,23.92043028
Baseri,DHAULPUR,24.06200057
Dhaulpur,DHAULPUR,22.01494244
Rajakhera,DHAULPUR,20.6759034
Sepau,DHAULPUR,24.1027084
Aspur,DUNGARPUR,29.8352788
Dungarpur,DUNGARPUR,32.5828304
Sagwara,DUNGARPUR,30.41969551
Simalwara,DUNGARPUR,31.4859031
Anupgarh,GANGANAGAR,23.45977562
Ganganagar,GANGANAGAR,20.3450108
Gharsana,GANGANAGAR,23.2581309
Karanpur,GANGANAGAR,22.84762755
Padampur,GANGANAGAR,20.07792016
Raisinghnagar,GANGANAGAR,22.39106993
Sadulshahar,GANGANAGAR,19.84730443
Suratgarh,GANGANAGAR,23.15777069
Vijainagar,GANGANAGAR,23.30236974
Bhadra,HANUMANGARH,19.77404813
Hanumangarh,HANUMANGARH,22.63265908
Nohar,HANUMANGARH,19.25090326
Pilibanga,HANUMANGARH,21.22107133
Rawatsar,HANUMANGARH,21.04702757
Sangaria,HANUMANGARH,20.66047287
Tibi,HANUMANGARH,21.55527113
Amber,JAIPUR,18.66171752
Bassi,JAIPUR,20.59062456
Chaksu,JAIPUR,21.73391563
Chomu,JAIPUR,19.51712644
Jaipur,JAIPUR,17.170368
Jamwa Ramgarh,JAIPUR,21.36750794
Kotputli,JAIPUR,20.4302438
Mauzamabad,JAIPUR,21.44867897
Phagi,JAIPUR,21.12585644
Phulera,JAIPUR,19.75417877
Sanganer,JAIPUR,19.79722368
Shahpura,JAIPUR,20.61121512
Viratnagar,JAIPUR,20.51402893
Fatehgarh,JAISALMER,25.64851594
Jaisalmer,JAISALMER,21.78477948
Pokaran,JAISALMER,26.69685058
Ahore,JALOR,26.06264505
Bagora,JALOR,24.16188899
Bhinmal,JALOR,24.0525368
Jalor,JALOR,27.87562455
Raniwara,JALOR,26.1144185
Sanchore,JALOR,23.53359032
Sayla,JALOR,26.72104397
Aklera,JHALAWAR,25.58459085
Gangdhar,JHALAWAR,26.21661908
Jhalrapatan,JHALAWAR,24.46199043
Khanpur,JHALAWAR,23.01026798
Manohar Thana,JHALAWAR,21.85797236
Pachpahar,JHALAWAR,25.1166302
Pirawa,JHALAWAR,23.8828703
Buhana,JHUNJHUNUN,19.06506607
Chirawa,JHUNJHUNUN,21.64584415
Jhunjhunun,JHUNJHUNUN,20.83683671
Khetri,JHUNJHUNUN,21.88979799
Nawalgarh,JHUNJHUNUN,21.20994169
Udaipurwati,JHUNJHUNUN,23.32556587
Bhopalgarh,JODHPUR,24.03989
Bilara,JODHPUR,22.80652645
Jodhpur,JODHPUR,24.13039429
Luni,JODHPUR,22.37849869
Osian,JODHPUR,24.41993123
Phalodi,JODHPUR,25.95072978
Shergarh,JODHPUR,25.82029412
Hindaun,KARAULI,25.26316619
Karauli,KARAULI,24.10674664
Mandrail,KARAULI,22.60413018
Nadoti,KARAULI,22.69126812
Sapotra,KARAULI,23.20622819
Todabhim,KARAULI,22.86713797
Digod,KOTA,22.65444189
Ladpura,KOTA,23.227241
Pipalda,KOTA,25.96857506
Ramganj Mandi,KOTA,22.48677913
Sangod,KOTA,24.46573186
Degana,NAGAUR,22.78282138
Didwana,NAGAUR,24.67807876
Jayal,NAGAUR,22.90092389
Kheenvsar,NAGAUR,24.33592777
Ladnu,NAGAUR,26.98043184
Makrana,NAGAUR,24.87743179
Merta,NAGAUR,24.01345289
Nagaur,NAGAUR,23.0199671
Nawa,NAGAUR,22.20862648
Parbatsar,NAGAUR,25.65544804
Bali,PALI,28.1634691
Desuri,PALI,24.41345642
Jaitaran,PALI,27.4786802
Marwar Junction,PALI,24.59065496
Pali,PALI,24.40998786
Raipur,PALI,26.26283213
Rohat,PALI,22.68434137
Sojat,PALI,23.59774286
Sumerpur,PALI,27.53021094
Arnod,PRATAPGARH,26.41160314
Chhoti Sadri,PRATAPGARH,25.2631144
Dhariawad,PRATAPGARH,34.08429024
Peepalkhoont,PRATAPGARH,26.6685571
Pratapgarh,PRATAPGARH,26.4473048
Amet,RAJSAMAND,25.15177389
Bhim,RAJSAMAND,24.18469356
Deogarh,RAJSAMAND,23.67698759
Kumbhalgarh,RAJSAMAND,28.51024087
Nathdwara,RAJSAMAND,27.18626784
Railmagra,RAJSAMAND,23.5694705
Rajsamand,RAJSAMAND,23.81837483
Bamanwas,SAWAI MADHOPUR,21.17596713
Bonli,SAWAI MADHOPUR,23.42439942
Chauth Ka Barwara,SAWAI MADHOPUR,21.83078981
Gangapur,SAWAI MADHOPUR,25.4425022
Khandar,SAWAI MADHOPUR,21.42291379
Malarna Doongar,SAWAI MADHOPUR,22.94491442
Sawai Madhopur,SAWAI MADHOPUR,22.18257521
Danta Ramgarh,SIKAR,21.08560162
Fatehpur,SIKAR,23.89823589
Lachhmangarh,SIKAR,20.68374025
Neem Ka Thana,SIKAR,22.65218282
Sikar,SIKAR,20.48591634
Sri Madhopur,SIKAR,22.34957631
Abu Road,SIROHI,29.94687331
Pindwara,SIROHI,31.01602275
Reodar,SIROHI,26.3923855
Sheoganj,SIROHI,24.91193835
Sirohi,SIROHI,26.58580473
Deoli,TONK,24.35299346
Malpura,TONK,22.27762745
Niwai,TONK,21.22201171
Peeplu,TONK,20.1776745
Todaraisingh,TONK,22.50679792
Tonk,TONK,21.67626813
Uniara,TONK,22.82232075
Girwa,UDAIPUR,27.56785648
Gogunda,UDAIPUR,28.111306
Jhadol,UDAIPUR,31.70542835
Kherwara,UDAIPUR,30.75992003
Kotra,UDAIPUR,30.48243113
Lasadiya,UDAIPUR,30.02591639
Mavli,UDAIPUR,26.36393405
Rishabdeo,UDAIPUR,33.53636044
Salumbar,UDAIPUR,30.80387135
Sarada,UDAIPUR,29.90990122
Vallabhnagar,UDAIPUR,27.51477825